,Creation_Date,EsteeID,Buy_Sell_Indicator,Traded_Quantity,Traded_Price,Status,TradeTime
0,2021-05-13,BRSUZBACNOR0BR00,1,100,67.0,Executed,16:36:09.580000
1,2021-05-13,BRVVARACNOR1BR00,2,100,12.21,Executed,16:35:42.687000
2,2021-05-13,BRBRAPACNPR2BR00,1,100,71.97,Executed,16:35:34.277000
3,2021-05-13,BRCRFBACNOR2BR00,2,100,20.68,Executed,16:36:20.747000
4,2021-05-13,BRPETRACNPR6BR00,2,100,24.96,Executed,16:35:32.917000
5,2021-05-13,BRB3SAACNOR6BR00,1,100,52.13,Executed,16:35:41.607000
6,2021-05-13,BRUNIPACNPB8BR00,2,100,80.95,Executed,16:35:41.440000
7,2021-05-13,BRELETACNPB7BR00,2,100,40.18,Executed,16:35:40.163000
8,2021-05-13,BRCSANACNOR6BR00,1,100,21.62,Executed,16:36:04.017000
9,2021-05-13,BRITSAACNPR7BR00,1,100,10.45,Executed,16:36:05.483000
10,2021-05-13,BRLRENACNOR1BR00,2,100,44.06,Executed,16:35:39.990000
11,2021-05-13,BRBPACUNT006BR00,2,100,112.75,Executed,16:35:36.897000
12,2021-05-13,BRVLIDACNOR5BR00,1,100,9.6,Executed,16:37:30.790000
13,2021-05-13,BRIGTAACNOR5BR00,2,100,41.6,Executed,16:36:16.613000
14,2021-05-13,BRBBSEACNOR5BR00,2,100,23.32,Executed,16:36:04.767000
15,2021-05-13,BRUGPAACNOR8BR00,1,100,19.66,Executed,16:35:53.587000
16,2021-05-13,BRPETRACNPR6BR00,2,100,24.96,Executed,16:36:17.010000
17,2021-05-13,BRCPFEACNOR0BR00,1,100,27.96,Executed,16:35:35.317000
18,2021-05-13,BRBBDCACNPR8BR00,2,100,24.67,Executed,16:35:46.820000
19,2021-05-13,BRTIMSACNOR5BR00,2,100,12.24,Executed,16:36:06.690000
20,2021-05-13,BREQTLACNOR0BR00,2,100,24.3299,Executed,16:35:56.143000
21,2021-05-13,BRTENDACNOR4BR00,1,100,24.61,Executed,16:36:23.390000
22,2021-05-13,BRIRBRACNOR4BR00,1,100,6.44,Executed,16:37:01.227000
23,2021-05-13,BRSANBCDAM13BR00,2,100,38.51,Executed,16:36:52.750000
24,2021-05-13,BRBTOWACNOR8BR00,1,100,60.2,Executed,16:36:27.580000
25,2021-05-13,BRPETRACNOR9BR00,2,100,24.46,Executed,16:36:55.177000
26,2021-05-13,BRENEVACNOR8BR00,1,100,16.15,Executed,16:35:40.677000
27,2021-05-13,BRGGBRACNPR8BR00,1,100,35.74,Executed,16:35:42.483000
28,2021-05-13,BRCSNAACNOR6BR00,2,100,47.93,Executed,16:36:22.013000
29,2021-05-13,BRBBASACNOR3BR00,2,100,31.24,Executed,16:36:35.027000
30,2021-05-13,BRBRKMACNPA4BR00,1,100,51.54,Executed,16:36:29.407000
31,2021-05-13,BRVIVTACNOR0BR00,1,100,42.71,Executed,16:36:23.127000
32,2021-05-13,BRRENTACNOR4BR00,2,100,59.13,Executed,16:36:10.120000
33,2021-05-13,BRBRDTACNOR1BR00,1,100,25.25,Executed,16:36:00.087000
34,2021-05-13,BRENATACNOR0BR00,2,100,14.06,Executed,16:38:45.327000
35,2021-05-13,BREMBRACNOR4BR00,1,100,15.6,Executed,16:36:04.920000
36,2021-05-13,BRLAMEACNPR6BR00,1,100,19.4899,Executed,16:38:33.457000
37,2021-05-13,BRCPLEACNPB9BR00,1,100,5.8,Executed,16:36:14.717000
38,2021-05-13,BRHAPVACNOR4BR00,2,100,14.63,Executed,16:35:37.407000
39,2021-05-13,BRENBRACNOR2BR00,1,100,18.48,Executed,16:35:54.527000
40,2021-05-13,BRBIDIACNPR0BR00,1,100,60.43,Executed,16:35:37.903000
41,2021-05-13,BRBRAPACNPR2BR00,1,100,71.97,Executed,16:35:39.600000
42,2021-05-13,BRKLBNCDAM18BR00,1,100,27.28,Executed,16:35:36.697000
43,2021-05-13,BRROMIACNOR8BR00,1,100,26.99,Executed,16:35:37.083000
44,2021-05-13,BRALSOACNOR5BR00,2,100,27.38,Executed,16:36:21.170000
45,2021-05-13,BRWEGEACNOR0BR00,2,100,31.96,Executed,16:36:08.250000
46,2021-05-13,BRCMIGACNOR6BR00,2,100,14.34,Executed,16:38:31.857000
47,2021-05-13,BRMULTACNOR5BR00,1,100,23.5799,Executed,16:36:20.047000
48,2021-05-13,BRCYREACNOR7BR00,2,100,23.34,Executed,16:36:26.353000
49,2021-05-13,BROMGEACNOR0BR00,2,100,36.57,Executed,16:35:43.387000
50,2021-05-13,BRPRIOACNOR1BR00,1,100,17.22,Executed,16:35:37.037000
51,2021-05-13,BRBRMLACNOR9BR00,1,100,10.3,Executed,16:35:42.137000
52,2021-05-13,BRCOGNACNOR2BR00,1,100,3.91,Executed,16:38:49.890000
53,2021-05-13,BRCIELACNOR3BR00,1,100,3.6,Executed,16:42:31.090000
54,2021-05-13,BRMRVEACNOR2BR00,1,100,16.82,Executed,16:35:58.067000
55,2021-05-13,BRBRFSACNOR8BR00,1,100,20.31,Executed,16:35:39.220000
56,2021-05-13,BRJBSSACNOR8BR00,1,100,30.75,Executed,16:36:14.467000
57,2021-05-13,BRMOVIACNOR0BR00,2,100,16.18,Executed,16:38:04.523000
58,2021-05-13,BRCCROACNOR2BR00,1,100,13.29,Executed,16:35:57.380000
59,2021-05-13,BRLOGNACNOR3BR00,2,100,19.63,Executed,16:35:57.727000
60,2021-05-13,BRHGTXACNOR9BR00,1,100,27.64,Executed,16:35:41.420000
61,2021-05-13,BRSLCEACNOR2BR00,1,100,50.52,Executed,16:35:39.497000
62,2021-05-13,BRABEVACNOR1BR00,1,100,16.88,Executed,16:36:29.497000
63,2021-05-13,BRITUBACNPR1BR00,2,100,28.42,Executed,16:35:51.547000
64,2021-05-13,BRLCAMACNOR3BR00,1,100,24.39,Executed,16:35:44.830000
65,2021-05-13,BRNTCOACNOR5BR00,2,100,49.29,Executed,16:35:45.820000
66,2021-05-13,BREGIEACNOR9BR00,2,100,39.77,Executed,16:35:47.100000
67,2021-05-13,BRELETACNOR6BR00,2,100,40.1,Executed,16:35:52.077000
68,2021-05-13,BRLAMEACNOR9BR00,1,100,18.11,Executed,16:35:45.223000
69,2021-05-13,BRSMTOACNOR3BR00,2,100,31.58,Executed,16:36:05.847000
70,2021-05-13,BRKLBNCDAM18BR00,1,100,27.28,Executed,16:35:37.190000
71,2021-05-13,BRANIMACNOR6BR00,1,100,11.68,Executed,16:36:01.157000
72,2021-05-13,BRVALEACNOR0BR00,2,100,112.61,Executed,16:35:40.977000
73,2021-05-13,BRJHSFACNOR2BR00,1,100,7.08,Executed,16:37:02.517000
