,Creation_Date,EsteeID,Buy_Sell_Indicator,Traded_Quantity,Traded_Price,Status,TradeTime
0,2021-05-28,BRPETRACNOR9BR00,2,100,26.67,Executed,16:40:24.450000
1,2021-05-28,BRABEVACNOR1BR00,2,100,17.91,Executed,16:41:30.440000
2,2021-05-28,BRIRBRACNOR4BR00,1,100,6.07,Executed,16:42:31.033000
3,2021-05-28,BRITUBACNPR1BR00,2,100,29.67,Executed,16:40:36.757000
4,2021-05-28,BRELETACNPB7BR00,2,100,43.2,Executed,16:40:25.927000
5,2021-05-28,BRENBRACNOR2BR00,2,100,18.69,Executed,16:41:18.170000
6,2021-05-28,BRCOGNACNOR2BR00,1,100,4.26,Executed,16:42:31.457000
7,2021-05-28,BRB3SAACNOR6BR00,2,100,17.4,Executed,16:40:29.837000
8,2021-05-28,BRCMIGACNOR6BR00,2,100,16.46,Executed,16:40:49.327000
9,2021-05-28,BRBTOWACNOR8BR00,1,100,59.93,Executed,16:40:34.257000
10,2021-05-28,BRCPFEACNOR0BR00,2,100,28.95,Executed,16:40:34.553000
11,2021-05-28,BRCMIGACNPR3BR00,1,100,13.73,Executed,16:42:31.460000
12,2021-05-28,BRWEGEACNOR0BR00,2,100,34.34,Executed,16:40:24.117000
13,2021-05-28,BRWIZSACNOR1BR00,2,100,12.72,Executed,16:41:39.033000
14,2021-05-28,BRVALEACNOR0BR00,2,100,111.73,Executed,16:40:23.453000
15,2021-05-28,BRBBDCACNPR8BR00,1,100,26.48,Executed,16:41:23.283000
16,2021-05-28,BRCSANACNOR6BR00,2,100,22.01,Executed,16:40:23.310000
17,2021-05-28,BRUGPAACNOR8BR00,1,100,19.1,Executed,16:40:23.457000
18,2021-05-28,BRBRDTACNOR1BR00,2,100,25.62,Executed,16:42:06.717000
19,2021-05-28,BRITSAACNPR7BR00,1,100,10.92,Executed,16:41:21.300000
20,2021-05-28,BRBBASACNOR3BR00,1,100,33.32,Executed,16:41:01.323000
21,2021-05-28,BRLCAMACNOR3BR00,1,100,26.52,Executed,16:40:23.203000
22,2021-05-28,BRPETRACNPR6BR00,2,100,26.93,Executed,16:40:24.457000
23,2021-05-28,BRRADLACNOR0BR00,2,100,27.51,Executed,16:40:23.213000
24,2021-05-28,BRALUPCDAM15BR00,1,100,27.16,Executed,16:40:25.090000
25,2021-05-28,BRHAPVACNOR4BR00,1,100,15.95,Executed,16:40:23.450000
26,2021-05-28,BRNTCOACNOR5BR00,1,100,51.17,Executed,16:40:36.930000
27,2021-05-28,BRBRAPACNPR2BR00,2,100,70.2099,Executed,16:40:29.913000
28,2021-05-28,BRENGICDAM16BR00,2,100,47.01,Executed,16:40:23.140000
29,2021-05-28,BRAZULACNPR4BR00,1,100,42.67,Executed,16:40:23.103000
30,2021-05-28,BRCYREACNOR7BR00,1,100,23.66,Executed,16:40:55.217000
31,2021-05-28,BRCIELACNOR3BR00,1,100,4.17,Executed,16:41:52.613000
32,2021-05-28,BREMBRACNOR4BR00,1,100,17.37,Executed,16:40:27.040000
33,2021-05-28,BRENEVACNOR8BR00,2,100,17.64,Executed,16:40:58.537000
34,2021-05-28,BRBBSEACNOR5BR00,2,100,23.4899,Executed,16:40:23.763000
35,2021-05-28,BREQTLACNOR0BR00,2,100,25.5,Executed,16:40:23.143000
36,2021-05-28,BREGIEACNOR9BR00,1,100,39.82,Executed,16:41:47.473000
37,2021-05-28,BRSUZBACNOR0BR00,1,100,61.65,Executed,16:40:31.153000
38,2021-05-28,BRBRKMACNPA4BR00,1,100,51.68,Executed,16:40:23.137000
39,2021-05-28,BRMGLUACNOR2BR00,2,100,20.36,Executed,16:40:49.747000
40,2021-05-28,BRBRKMACNPA4BR00,1,100,51.68,Executed,16:40:23.143000
41,2021-05-28,BRLRENACNOR1BR00,2,100,47.84,Executed,16:40:45.060000
42,2021-05-28,BRPRIOACNOR1BR00,2,100,19.7,Executed,16:41:16.193000
43,2021-05-28,BRGOLLACNPR4BR00,1,100,26.54,Executed,16:40:56.907000
44,2021-05-28,BRDIRRACNOR0BR00,2,100,13.23,Executed,16:40:27.173000
45,2021-05-28,BRAZULACNPR4BR00,1,100,42.68,Executed,16:40:23.210000
46,2021-05-28,BRSAPRCDAM13BR00,2,100,20.25,Executed,16:41:54.453000
47,2021-05-28,BRKLBNCDAM18BR00,1,100,26.23,Executed,16:40:23.153000
48,2021-05-28,BRENGICDAM16BR00,2,100,46.95,Executed,16:40:45.297000
49,2021-05-28,BRSBSPACNOR5BR00,1,100,40.0,Executed,16:40:23.157000
50,2021-05-28,BREQTLACNOR0BR00,2,100,25.5,Executed,16:40:23.470000
51,2021-05-28,BRBRKMACNPA4BR00,1,100,51.68,Executed,16:40:23.150000
52,2021-05-28,BRBRKMACNPA4BR00,1,100,51.68,Executed,16:40:23.153000
53,2021-05-28,BRBRKMACNPA4BR00,1,100,51.68,Executed,16:40:23.157000
54,2021-05-28,BRBRKMACNPA4BR00,1,100,51.68,Executed,16:40:23.160000
55,2021-05-28,BRBRKMACNPA4BR00,1,100,51.68,Executed,16:40:23.167000
56,2021-05-28,BRBRKMACNPA4BR00,1,100,51.68,Executed,16:40:23.170000
57,2021-05-28,BRBRFSACNOR8BR00,2,100,25.69,Executed,16:40:58.550000
58,2021-05-28,BRRENTACNOR4BR00,2,100,61.68,Executed,16:40:23.360000
59,2021-05-28,BRCVCBACNOR1BR00,1,100,24.82,Executed,16:40:35.847000
60,2021-05-28,BRALPAACNPR7BR00,2,100,46.77,Executed,16:40:35.810000
61,2021-05-28,BRBRKMACNPA4BR00,1,100,51.68,Executed,16:40:23.197000
62,2021-05-28,BRBRKMACNPA4BR00,1,100,51.68,Executed,16:40:23.200000
63,2021-05-28,BRQUALACNOR6BR00,1,100,29.08,Executed,16:40:23.703000
64,2021-05-28,BRBRKMACNPA4BR00,1,100,51.68,Executed,16:40:23.203000
65,2021-05-28,BRBRKMACNPA4BR00,1,100,51.68,Executed,16:40:23.207000
66,2021-05-28,BRLCAMACNOR3BR00,1,100,26.52,Executed,16:40:23.207000
67,2021-05-28,BRBRKMACNPA4BR00,1,100,51.68,Executed,16:40:23.303000
68,2021-05-28,BRAZULACNPR4BR00,1,100,42.68,Executed,16:40:23.213000
69,2021-05-28,BRLCAMACNOR3BR00,1,100,26.52,Executed,16:40:23.497000
70,2021-05-28,BRAZULACNPR4BR00,1,100,42.67,Executed,16:40:23.463000
71,2021-05-28,BRRADLACNOR0BR00,2,100,27.51,Executed,16:40:23.220000
72,2021-05-28,BRRADLACNOR0BR00,2,100,27.49,Executed,16:40:49.277000
73,2021-05-28,BRSLCEACNOR2BR00,2,100,51.45,Executed,16:40:23.247000
74,2021-05-28,BRCPLEACNOR8BR00,2,100,5.83,Executed,16:44:55.817000
75,2021-05-28,BRCPLEACNPB9BR00,2,100,6.41,Executed,16:43:38.540000
76,2021-05-28,BRSLCEACNOR2BR00,2,100,51.46,Executed,16:40:23.247000
77,2021-05-28,BRSLCEACNOR2BR00,2,100,51.46,Executed,16:40:23.747000
78,2021-05-28,BRKLBNCDAM18BR00,1,100,26.23,Executed,16:40:23.250000
79,2021-05-28,BRELETACNOR6BR00,1,100,42.99,Executed,16:40:25.843000
80,2021-05-28,BRSBSPACNOR5BR00,1,100,40.0,Executed,16:40:23.660000
81,2021-05-28,BROMGEACNOR0BR00,2,100,38.11,Executed,16:43:23.137000
82,2021-05-28,BRCSNAACNOR6BR00,1,100,44.53,Executed,16:40:23.270000
83,2021-05-28,BRMRVEACNOR2BR00,1,100,17.51,Executed,16:41:21.730000
84,2021-05-28,BRGGBRACNPR8BR00,1,100,32.65,Executed,16:40:51.470000
85,2021-05-28,BRCSNAACNOR6BR00,1,100,44.52,Executed,16:40:36.877000
86,2021-05-28,BRVIVTACNOR0BR00,1,100,44.01,Executed,16:40:24.917000
87,2021-05-28,BRSULACDAM12BR00,2,100,34.6599,Executed,16:40:29.487000
88,2021-05-28,BRCSANACNOR6BR00,2,100,22.01,Executed,16:40:23.813000
89,2021-05-28,BRMRFGACNOR0BR00,1,100,17.88,Executed,16:40:23.473000
90,2021-05-28,BRBPACUNT006BR00,1,100,122.77,Executed,16:40:23.497000
91,2021-05-28,BRAALRACNOR6BR00,1,100,11.49,Executed,16:40:45.703000
92,2021-05-28,BRLAMEACNPR6BR00,2,100,20.0799,Executed,16:40:36.180000
93,2021-05-28,BRRAILACNOR9BR00,2,100,20.89,Executed,16:44:09.787000
94,2021-05-28,BRCCROACNOR2BR00,1,100,13.84,Executed,16:41:05.967000
95,2021-05-28,BRBBDCACNOR1BR00,1,100,22.85,Executed,16:41:19.743000
96,2021-05-28,BRTUPYACNOR1BR00,1,100,24.47,Executed,16:40:23.903000
97,2021-05-28,BRVVARACNOR1BR00,1,100,12.75,Executed,16:41:33.437000
98,2021-05-28,BRJBSSACNOR8BR00,2,100,30.11,Executed,16:40:31.210000
99,2021-05-28,BRYDUQACNOR3BR00,1,100,33.47,Executed,16:40:26.700000
100,2021-05-28,BRGOAUACNPR8BR00,1,100,14.68,Executed,16:40:48.167000
101,2021-05-28,BRSANBCDAM13BR00,1,100,40.82,Executed,16:41:21.917000
102,2021-05-28,BRMULTACNOR5BR00,2,100,25.61,Executed,16:40:49.703000
